review,sentiment
tumatagal naman sya thank you seller for sending updates before shipping and for shipping the perfume safely packed well. will order again soon.,3
kung pwede lng no star nlng kase dissapointed ako mgkaiba ng size pinadala nyo buti nlng kaliwa at kanan pero yung size isang 6 at 7 hndi n halata kpg sinuot .kaya pala mura..,1
iba sya sa picture second order ko na kasi ito kaso sa ibang store. pero okay lang naman mura lang naman.,4
napakaiksi nito halos di nga macover yung isang plywood compare dun sa nabili ko sa ibang shop which is umabot 10m long. sobra pa nga. buti nalang isa lang binili ko dito.will not order again!,1
"good ang order kopo ay plain lang na pink dumating may mga star na designs pero dibale na magagamit padin naman, paki check nalang po yung order nextime para tamang item po yung dumadating salamat, ok naman yung item makapal narin dipa namen nadidikit and di sya ganyan ka pink",4
not good ok sana sya kaso my damage ung dalawang baunan..baka pwedeng papalitan ung dalawa kasi apat sila gagamit...ung isa basag ung sa takip nya ..at ung isa basag ung ilalim.seller pwede palitan kopo kht anung kulay.,1
i ordwred blue/orange ang dumating light blue. seller should not do this just to complete the delivery. be honest kung wala ka na stock.,1
"6/10 it's my 2nd time to order this sandals. nasira na kasi yung dati kaya umorder ako ulit. as you can see in the pictures, may guhit sa mismong sandals. may sira. pero ayos lang magagamit pa naman. thank you seller and courier.",4
"hindi halatang mumurahin. comfy sa paa what you see is what you get. super sulit sa presyo nya. at mukhang tatagal nmn, wag lang ipang jogging",3
good thank you seller maganda naman yung product. kaso lang masyadong malaki pala yung xl. but lahat okay naman siya.,4
mganda po sya promise...uulit p q umorder.5 star ka skin..thank u shoppee tsaka kay kuya na nag deliver po..,3
thankyou po sobrang ngusruhan ng ank ko...ang bait pa ni mam seller....,3
good quality pero yung dalawa nawala bigla ang tinta pero wofth eat tlga sya,4
madumi yung bottom part i don't know why. mura items pero sana maayos at hindi ganto pinadala. pang gift pa naman to. pako ireregalo kung parang gamit na,1
maganda naman pero kulang yung order ko. nag-ask si seller if pwedeng sa gcash nalang i-refund yung kulang pero wala akong gcash. sana nagbigay nalang ng other options ng item na kapalit nung kulang bago i-padala yung item.,4
for the second time .. mali na naman ang item .. tama ang size 2liters .. pero ang color mali ..i ordered gray/black pero dumating blue/orange .. take note nag message pa ko sa inyo nyan,1
mabilis magdeliver sa sobrang bilis basta nalng sinalambak sa courie hayssss,1
defective earbuds .. sawi sa unang try,1
9/10 di ako fully satisfied sa na receive ko kase ibang kulay dumating order ko blue eh dumating saken peach though mabilis naman sya dumating parang mataganal na to na stock kaya 3 star lng muna,4
terrible blue order ko pero pink yung dumating sakin para sana sa anak kong lalaki pero pink yung dumating sakin nakaka dissapoint,1
ang pangit nang amoy. swear. okay naman yung slipper. yung ang amoy ang sakit sa ulo at ilong. paano bato mawawala kahit ibabad sa detergent powder. ayaw.,1
maganda ang tsinelas naka dalawang order naku dito sa shop nato....matagal masira manawa ka nalang pangbahay at panlakad worth it ang presyo love this shop highly recomended at bilis shipping din sila salamat seller salamat shopee sa free shipping,3
5 star sana e kaso sa pasaway na rider na unang humawak ng parcel ko. yung 2nd rider medyo pasaway din kasi gusto pa ipagpabukas yung deliver kahit nasa area na sya kaya ako na lang nag effort na makipag meet up sa kanya dun mismo sa hub. anyway 3,4
"made in china salamat po seller,..even though i only bought one,.it was still delivered keep safe and god bless",2
super legit seller. ..highly recommended bukod sa nag.aupdate palage well pack pa ung item . .thank you seller,3
okay lang naman um maingay sya and may crack i recommend buying the original kahit mahal,4
plastic but good maganda sya ang kaso lng mejo maliit sya sa akinsaka para sya sa payat ang paa yung akin kc parang paa ng lalake pero maganda sya...mabilis pa ang dating...thank you seller...,4
super ganda ng order ko worth the priceeeeeeeee,3
akala ko original hindi namn pa nag iinit yung adaptor definitely not to order ever again,1
"okay naman yung sapatos maganda, kaso 5 days bago i ship out ang tagal na non pero hindi na package ng maayos nasa box lang sya tapos yung mismong plastic na pag dating sakin wasak wasak na yung box 14 days din bago dumating ",4
"hindi po honest ang seller na ito. twice na akong bumili sakanya dahil yung una maling kulay ang binigay niya sakin. i ordered camel pero nude dumating, kahit disappointed ako nakipag usap ako ng maayos.. ",1
sayang ang pera sira ang item not recommended this... hindi nkikipag communication si seller...,1
another transaction done. maraming. salamat po. satisfied buyer here. god bless po. until next transactions. more power.,3
"oks naman, medyo manipis and kawing lang, but overall ok naman",4
good ang ganda po nag products like worth to buy kaso wag nyo po kunan nang carton sa loob kasi po para syang damnit na tiniklop,4
sa susunod wag niyo ilagay na adidas ang brand kahit hnd naman ok para lang makabenta sabihin nio no brand para aware ang buyer,1
complete orders hindi sya nakalat,3
"order received! akala ko yung ganon sa inorder ko dati haha hindi pala pero so far mabilis naman ang shipping and maayos ang packaging, ang problema lang is yung items, ang pangit nung sa baba haha unlike sa inorder ko dati, tas medyo manipis yung tela pero okay lang naman",1
walang red light yung isa 10m yung binili ko,4
honest review sa scent na ito! hindi siya mabango.,1
"hindi nasuot sa graduation, but that's fine. i just home that they can keep their promises the next time",2
"item shipped fast! packaging was very nice! no damage at all. every color is working,also the remote. brightnes can be adjusted! happy customer here sana magtagal",3
cute and easy to handle photo not related but it is so cute very affordable for its price. high quality dalawa yung binili ko tig isa kami ng boyfriend ko so far matibay naman sya mahirap lang isara sa umpisa pero maganda naman,3
white super ganda and super puti parang nakakahiya isuot. ganda pang ootd. at ang bilis ng shipping correct size what you see what you get po tlaga,3
super effective against to my eyes subrang ganda nya akkkkk,3
maganda naman. sana lang matibay. worth it naman yung bayad..,4
super ganda bheeeee♡♡♡♡♡♡♡♡♡♡♡♡♡ bibili ako ulit dito ,3
"food is quite good, but not worthy on its price. too expensive. we ate there at 11am, but the place is burning hot! masyadong maiinit, di ka makakain ng maayos. please improve...",1
very good tama lahat ng inorder ko....ahm medyo matagal ngalang pero worth it heheh and btw teng kyu kay kua rider ang kyut niu po,3
"okay naman ung tela, pero may kunting deperensya lang sa tahi kc may kunting nakalawit na sinulid nasabit kc ung paa ko pagkasuot ko atsaka di sya totally nakakatago ng baby fats",4
"oilyyy my favoriteeeee, if u like sweet scents and just fresh powdery scent and expensive go buy this one! kahit na sa malayo ka maaamoy ka nila hahahahah",3
wala sa ayos maayos so its been 5 days at di pa rin ako nirereplyan ng seller. mali ang ipiladala nilang item. hindi na sana ako mag rerate pero grabe talaga wala man lang nag reply.,1
ganda sana ng items lalo na yung salamin na me ilaw. kaso yung sports bra me punit at butas.,4
"ok sya, malakai kaso mali ang kulay, pink ang order ko, dumating orange. hays seller! wala namang pasabi bago iship, edi sana nakapili man lang ako ng ibang kulay na option.",4
nokia cover but parang cherry mobile ang apps pero ok na rin,4
"first time ko gumamit ng fake nails at nagustuhan ko talaga. medyo malalaki yung size ng mga nails pero keri naman, madikit din yung glue. nadikitan nga pati yung daliri ko.",3
ang inorder ko mag kaiba ng kulay ang dumating mag kamukha saka yung naiano sakin yung malaking size tsk at ang tagal bago makuha,1
silk okay naman quality for its price kaso di man lang nag inform yung seller na ibang color pala darating.,4
my items were not complete. but package really well and ang ganda din ng product. will order again soon sana kumpleto na next time.,4
"got my order , sorry for late rating. thank you seller and shoppe super nice all items satisfied customer here thank sa nag dedeliver god bless and more sales",3
okay naman daw sabi ng abcde ifg q kaya ayun satisfied customer naman daw sabi ni daddy at ni nanay haha joke lang thank you po so mats,4
will highly recommend this shop! quality wise 10/10 medj matagal lang shipping.,3
working naman ang product pero less than one hour lng battery life.,4
maganda yung phone like me.,3
ang panget po sa personal pero worth it sa price nya maliit din yung mga sizes nila,4
"isa lng ung pinadala skin ng seller eventhough inorder ko is 2, unresponsive",1
secured packaging with thick bubblewrap kaso yung 4 na binili ko lahat nagleleak. di nakaclose ng maayos yung bote.,4
good legit. super nagustohan ng bagets ko ayaw na hubarin thank you seller will order again soon,3
sobrang ganda ng items na gustuhan din ng tita at pinsan ko thank you kaso yung isa hehehe hindi magkapareho,3
"wag kayong bibili dito sa shop na to.scammers!!!! sobrang bulok ng tablet na binibenta nila ayaw pa ipareturn di pa mabait ang seller kausap. 2023 na nanloloko pa rin ng tao di na nahiya.waggl kayong bibili kung may rating lang na zero yan bagay sa shop na to, sa tagal",1
not that ok wrong color ang isa..dpat prang blue green pro orange ang na receive namin..pro ok nlng din,4
"mabango nag leak lang ng onti , thanku",4
"so bad pang 3rd ko nang order to pero now lang ako nadismaya, mali na yung kulay mali pa yung liter nya, 2l inorder ko na black pero ito yung dumating, sobrang nakaka dismaya talaga, naki order lang sakin yung bayaw ko",1
royal blue yung inorder ko kaso pag dating black. sana man lang nag update si seller na wala ng stock yung royal blue.,1
manipis n klase ng rubber .tpos dpa accurate mga sizes .dko xa mai rereccomend ..,1
maganda quality ng products mganda din ang fit. ang designs pati colors mganda.at mbilis din ang response ng seller.mabilis din ang shipment.thank u seller until next transaction sa shop nyo..,3
maganda siya kaso parang nahirapan ako gamitin compare sa normal ballpen kasi may round siya sa tip pero maganda naman sguro need lang masanay. both ends are working thank you,4
maganda sya pero its better to add one size kasi parang 39 lang yung size 40,4
ok na sana maganda at complete naman kaso may sira sa tabi may tastas kelangan ko pa gawan ng paraan para hindi lumaki sira,4
salamat seller nakaorder din ako nun una nagaalangan pa ako baka di kasya sa kalan ko pero swak na swak sya lalu na sa superkalan,3
order completed!!!!!!!!!! thank you po kumpleto po at tama po ang lahat ng kulay at size ng shoes thank thank you.......,3
"standard mabilis dumating delivery ng mga item ko, pero yong isa may sira sa may usb port nasa picture, na test ko nmn gumagana nmn sya pero yong pag charge di ko pa na try if working. slamat",4
"maganda ang quality at ang tela,nagustuhan ng asawa ko",3
